Number_ID,Sample,Name,Status,Found_RT,Actual_Ret_Index,Conc,Unit,m/z,Area,Noise,Ref_1_m/z,Ref_1_Range,Ref_1_Set_Ratio,Ref_1_Actual_Ratio,Ref_1_Measured,Ref_1_Noise,Ref_2_m/z,Ref_2_Range,Ref_2_Set_Ratio,Ref_2_Actual_Ratio,Ref_2_Measured,Ref_2_Noise,Ref_3_m/z,Ref_3_Range,Red_3_Set_Ratio,Ref_3_Actual_Ratio,Ref_3_Measured,Ref_3_Noise,Mode,RT,RT_Percent_Diff,RT_Diff,Concentrations,Date_Insight_Anal,Notes
11,HIGR_10F0836_0130_5252020_22,c16.1n6c,Accept,----,----,----,ng/ul,55,----,288.3,69,97.80 - 137.80,117.8,----,----,----,268,0.00 - 30.37,10.37,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
12,HIGR_10F0836_0130_5252020_22,i17.0,Accept,----,----,----,ng/ul,74,----,720.33,284,0.00 - 36.52,16.52,0.87,13,720.33,143,12.85 - 52.85,32.85,0,0,720.33,57,10.95 - 50.95,30.95,0,0,720.33,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
13,HIGR_10F0836_0130_5252020_22,a17.0,Accept,----,----,----,ng/ul,74,----,720.33,284,0.00 - 36.52,16.52,0.87,13,720.33,143,12.85 - 52.85,32.85,0,0,720.33,57,10.96 - 50.96,30.96,0,0,720.33,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
14,HIGR_10F0836_0130_5252020_22,c16.2n5,Accept,----,----,----,ng/ul,67,----,59.05,74,0.00 - 28.86,8.86,23.16,22,59.05,69,9.62 - 49.62,29.62,67.37,64,59.05,266,0.00 - 28.96,8.96,6.32,6,59.05,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
15,HIGR_10F0836_0130_5252020_22,c17.0,Accept,20.232,0,0.1193,ng/ul,74,46026,2318.75,87,49.23 - 89.23,69.23,62.4,7131,2318.75,55,13.33 - 53.33,33.33,23.19,2650,2318.75,284,0.00 - 35.42,15.42,7.26,830,2318.75,Auto,20.28,-0.24,-0.048,"0.3, 1, 2, 5",2021-05-12,----
16,HIGR_10F0836_0130_5252020_22,c17.1n9c,Accept,20.879,0,0.0881,ng/ul,55,12380,793.13,55,154.23 - 194.23,174.23,100,2837,793.13,282,0.00 - 33.71,13.71,3.28,93,793.13,69,113.94 - 153.94,133.94,76.7,2176,793.13,Manual Integrate,21,-0.58,-0.121,"0.15, 0.5, 1, 2.5",2021-05-12,----
17,HIGR_10F0836_0130_5252020_22,c16.4n1,Accept,----,----,----,ng/ul,79,----,162.84,266,0.00 - 21.57,1.57,2.99,2,162.84,80,36.23 - 76.23,56.23,53.73,36,162.84,194,0.00 - 23.42,3.42,0,0,162.84,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
18,HIGR_10F0836_0130_5252020_22,i18.0,Accept,----,----,----,ng/ul,74,----,720.33,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
19,HIGR_10F0836_0130_5252020_22,a18.0,Accept,----,----,----,ng/ul,74,----,720.33,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
20,HIGR_10F0836_0130_5252020_22,c18.0,Accept,23.425,0,1.4089,ng/ul,74,546431,25893.36,87,44.78 - 84.78,64.78,69.61,82251,25893.36,143,0.10 - 40.10,20.1,23.96,28312,25893.36,55,8.23 - 48.23,28.23,23.8,28119,25893.36,Auto,23.49,-0.28,-0.066,"0.45, 1.5, 3, 7.5",2021-05-12,----
21,HIGR_10F0836_0130_5252020_22,c18.1n9c,Accept,24.06,0,8.272,ng/ul,55,1128110,52086.79,69,103.45 - 143.45,123.45,72.34,167917,52086.79,83,96.44 - 136.44,116.44,59.69,138556,52086.79,296,0.00 - 32.98,12.98,2.83,6577,52086.79,Manual Integrate,24.14,-0.33,-0.08,"0.75, 2.5, 5, 12.5",2021-05-12,----
22,HIGR_10F0836_0130_5252020_22,c18.1n7c,Accept,24.303,0,0.0621,ng/ul,55,10029,51922.93,69,126.16 - 166.16,146.16,79.7,1453,51922.93,296,0.00 - 32.17,12.17,1.81,33,51922.93,83,95.76 - 135.76,115.76,49.48,902,51922.93,Manual Integrate,24.41,-0.44,-0.107,"0.3, 1, 2, 5",2021-05-12,----
23,HIGR_10F0836_0130_5252020_22,c18.1B,Accept,----,----,----,ng/ul,55,----,288.3,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
24,HIGR_10F0836_0130_5252020_22,c18.2n6c,Accept,25.625,0,2.9901,ng/ul,67,505956,23496.22,294,0.00 - 33.35,13.35,6.09,6610,23496.22,69,13.55 - 53.55,33.55,31.58,34280,23496.22,55,36.74 - 76.74,56.74,56.47,61287,23496.22,Auto,25.71,-0.33,-0.085,"0.6, 2, 4, 10",2021-05-12,----
25,HIGR_10F0836_0130_5252020_22,c18.2,Accept,----,----,----,ng/ul,67,----,59.05,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
26,HIGR_10F0836_0130_5252020_22,c18.3n6,Accept,26.526,0,0.4512,ng/ul,79,67401,3861.39,292,0.00 - 27.50,7.5,3.77,470,3861.39,150,7.75 - 47.75,27.75,14.99,1871,3861.39,194,0.00 - 29.98,9.98,6.46,806,3861.39,Auto,26.62,-0.35,-0.094,"0.45, 1.5, 3, 7.5",2021-05-12,----
27,HIGR_10F0836_0130_5252020_22,c19.0,Accept,27.081,0,21.9689,ng/ul,74,9338730,328178.77,87,44.37 - 84.37,64.37,69.59,855439,328178.77,312,1.47 - 41.47,21.47,11.75,144491,328178.77,143,8.59 - 48.59,28.59,24.34,299194,328178.77,Auto,26.96,0.45,0.121,"0.3, 1, 2, 5",2021-05-12,----
28,HIGR_10F0836_0130_5252020_22,c18.3n3,Accept,27.792,0,6.7226,ng/ul,79,1251422,55302.14,236,0.00 - 23.82,3.82,2.87,6843,55302.14,108,20.90 - 60.90,40.9,36.45,86939,55302.14,292,0.00 - 24.05,4.05,2.55,6080,55302.14,Auto,27.82,-0.1,-0.028,"0.15, 0.5, 1, 2.5",2021-05-12,----
29,HIGR_10F0836_0130_5252020_22,c19.1A,Accept,----,----,----,ng/ul,55,----,288.3,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
30,HIGR_10F0836_0130_5252020_22,c18.4n1,Accept,----,----,----,ng/ul,79,----,162.84,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
31,HIGR_10F0836_0130_5252020_22,c20.0,Accept,30.691,0,1.5187,ng/ul,74,588559,25679.59,87,55.97 - 95.97,75.97,72,80376,25679.59,326,6.15 - 46.15,26.15,12.73,14209,25679.59,----,----,----,----,----,----,Auto,30.7,-0.03,-0.01,"0.6, 2, 4, 10",2021-05-12,----
32,HIGR_10F0836_0130_5252020_22,c20.1n11,Accept,----,----,----,ng/ul,55,----,288.3,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
33,HIGR_10F0836_0130_5252020_22,c20.1n9,Accept,----,----,----,ng/ul,55,----,192.42,69,44.41 - 84.41,64.41,81.5,401,192.42,324,0.00 - 22.56,2.56,9.15,45,192.42,43,38.09 - 78.09,58.09,51.22,252,192.42,No peak identified,31.44,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
34,HIGR_10F0836_0130_5252020_22,c20.1n7,Accept,----,----,----,ng/ul,55,----,288.3,69,130.69 - 170.69,150.69,----,----,----,324,0.00 - 33.83,13.83,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
35,HIGR_10F0836_0130_5252020_22,c20.2n6,Accept,33.235,0,0.175,ng/ul,67,29093,1354.51,322,0.00 - 27.09,7.09,6.14,302,1354.51,55,50.40 - 90.40,70.4,58.58,2879,1354.51,95,42.62 - 82.62,62.62,73.9,3632,1354.51,Auto,33.28,-0.14,-0.045,"0.45, 1.5, 3, 7.5",2021-05-12,----
36,HIGR_10F0836_0130_5252020_22,c20.3n6,Accept,34.187,0,0.1729,ng/ul,79,24467,39765.53,80,63.92 - 103.92,83.92,75.65,3240,39765.53,81,47.82 - 87.82,67.82,69.2,2964,39765.53,93,37.76 - 77.76,57.76,54.33,2327,39765.53,Manual Integrate,34.24,-0.15,-0.053,"0.3, 1, 2, 5",2021-05-12,----
37,HIGR_10F0836_0130_5252020_22,c20.4n6,Accept,34.825,0,21.9962,ng/ul,79,3442308,124402.03,150,6.60 - 46.60,26.6,19.17,90258,124402.03,180,0.00 - 28.23,8.23,5.57,26230,124402.03,318,0.00 - 90.48,0.48,0.57,2706,124402.03,Auto,34.82,0.01,0.005,"0.75, 2.5, 5, 12.5",2021-05-12,----
38,HIGR_10F0836_0130_5252020_22,c20.3n3,Accept,35.587,0,0.1896,ng/ul,79,33752,1668.95,320,0.00 - 25.59,5.59,2.57,159,1668.95,264,0.00 - 23.07,3.07,2.52,156,1668.95,108,38.98 - 78.98,58.98,43.27,2675,1668.95,Manual Integrate,35.67,-0.23,-0.083,"0.15, 0.5, 1, 2.5",2021-05-12,----
39,HIGR_10F0836_0130_5252020_22,c20.4n3,Accept,----,----,----,ng/ul,79,----,162.84,108,17.16 - 57.16,37.16,44.39,91,162.84,222,0.00 - 25.14,5.14,0,0,162.84,318,0.00 - 21.13,1.13,0,0,162.84,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
40,HIGR_10F0836_0130_5252020_22,c20.5n3,Accept,37.178,0,13.4544,ng/ul,79,2142480,84297.23,108,12.42 - 52.42,32.42,23.26,78021,84297.23,180,0.00 - 25.77,5.77,4.2,14097,84297.23,316,0.00 - 20.08,0.08,0.12,401,84297.23,Auto,37.25,-0.19,-0.072,"0.45, 1.5, 3, 7.5",2021-05-12,----
41,HIGR_10F0836_0130_5252020_22,c22.0,Accept,38.505,0,0.0292,ng/ul,74,8767,394.24,87,55.38 - 95.38,75.38,49.67,828,394.24,143,16.60 - 56.60,36.6,25.56,426,394.24,354,15.36 - 55.36,35.36,12.06,201,394.24,Manual Integrate,38.48,0.06,0.025,"0.15, 0.5, 1, 2.5",2021-05-12,----
42,HIGR_10F0836_0130_5252020_22,c22.1,Accept,----,----,----,ng/ul,55,----,288.3,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
43,HIGR_10F0836_0130_5252020_22,c22.1n9c,Accept,----,----,----,ng/ul,55,----,80.92,55,116.11 - 156.11,136.11,100,287,80.92,69,80.00 - 120.00,100,32.4,93,80.92,320,49.99 - 89.99,69.99,9.76,28,80.92,No peak identified,39.29,----,----,"0.6, 2, 4, 10",2021-05-12,----
44,HIGR_10F0836_0130_5252020_22,c22.1n7c,Accept,----,----,----,ng/ul,55,----,288.3,55,113.05 - 153.05,133.05,100,971,288.3,74,37.45 - 77.45,57.45,0,0,288.3,320,38.27 - 78.27,58.27,0.72,7,288.3,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
45,HIGR_10F0836_0130_5252020_22,c22.1A,Accept,----,----,----,ng/ul,55,----,288.3,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
46,HIGR_10F0836_0130_5252020_22,c21.5n3,Accept,----,----,----,ng/ul,79,----,162.84,108,9.78 - 49.78,29.78,----,----,----,194,0.00 - 25.52,5.52,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
47,HIGR_10F0836_0130_5252020_22,c22.2n6,Accept,----,----,----,ng/ul,67,----,134.54,350,2.90 - 42.90,22.9,0,0,134.54,55,51.64 - 91.64,71.64,43.06,211,134.54,----,----,----,----,----,----,No peak identified,41.3,----,----,"0.3, 1, 2, 5",2021-05-12,----
48,HIGR_10F0836_0130_5252020_22,c23.0,Accept,----,----,----,ng/ul,74,----,----,368,25.14 - 65.14,45.14,----,----,----,87,59.93 - 99.93,79.93,----,----,----,----,----,----,----,----,----,No peak is detected,42.42,----,----,"0.45, 1.5, 3, 7.5",2021-05-12,----
49,HIGR_10F0836_0130_5252020_22,c22.PUFA,Accept,----,----,----,ng/ul,79,----,162.84,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
50,HIGR_10F0836_0130_5252020_22,c22.3n6,Accept,----,----,----,ng/ul,79,----,1817.06,150,11.35 - 51.35,31.35,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,43.63,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
51,HIGR_10F0836_0130_5252020_22,c22.4n6,Accept,43.061,0,4.007,ng/ul,79,558327,23010.52,366,0.00 - 29.50,9.5,0,0,23010.52,150,9.43 - 49.43,29.43,18.99,18167,23010.52,313,0.00 - 30.39,10.39,0.06,57,23010.52,Manual Integrate,43.1,-0.09,-0.039,"0.6, 2, 4, 10",2021-05-12,----
52,HIGR_10F0836_0130_5252020_22,c22.5n6,Accept,----,----,----,ng/ul,79,----,36759.36,150,4.16 - 44.16,24.16,----,----,----,166,0.00 - 28.48,8.48,----,----,----,----,----,----,----,----,----,No peak identified,43.5,----,----,"0.45, 1.5, 3, 7.5",2021-05-12,----
53,HIGR_10F0836_0130_5252020_22,c22.5n3,Accept,45.514,0,6.3862,ng/ul,79,919811,36721,108,16.14 - 56.14,36.14,25.69,40059,36721,208,0.00 - 25.79,5.79,3.56,5555,36721,----,----,----,----,----,----,Auto,45.6,-0.19,-0.086,"0.3, 1, 2, 5",2021-05-12,----
54,HIGR_10F0836_0130_5252020_22,c22.6n3,Accept,----,----,----,ng/ul,79,----,148.02,108,15.57 - 55.57,35.57,0,0,148.02,166,0.00 - 25.99,5.99,9.15,13,148.02,----,----,----,----,----,----,Ratio of reference ion does not match,46,----,----,"0.75, 2.5, 5, 12.5",2021-05-12,----
55,HIGR_10F0836_0130_5252020_22,c24.0,Accept,46.348,0,0.0584,ng/ul,74,16228,637.62,87,59.15 - 99.15,79.15,72.64,1726,637.62,382,26.18 - 66.18,46.18,21,499,637.62,143,20.93 - 60.93,40.93,31.73,754,637.62,Manual Integrate,46.29,0.13,0.058,"0.15, 0.5, 1, 2.5",2021-05-12,----
56,HIGR_10F0836_0130_5252020_22,c24.1n9,Accept,----,----,----,ng/ul,55,----,42.45,348,56.91 - 96.91,76.91,0,0,42.45,380,0.00 - 27.17,7.17,12.22,11,42.45,----,----,----,----,----,----,Ratio of reference ion does not match,47.24,----,----,"0.45, 1.5, 3, 7.5",2021-05-12,----
57,HIGR_10F0836_0130_5252020_22,c8:0,Accept,6.201,0,0.0037,ng/ul,74,1644,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,Manual Integrate,6.241,-0.64,-0.04,"0.15, 0.5, 1, 2.5",2021-05-12,----
58,HIGR_10F0836_0130_5252020_22,c9:0,Accept,----,----,----,ng/ul,74,----,715.18,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7.427,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
59,HIGR_10F0836_0130_5252020_22,c10:0,Accept,8.483,0,0.0053,ng/ul,74,2265,183.45,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,Manual Integrate,8.543,-0.7,-0.06,"0.3, 1, 2, 5",2021-05-12,----
60,HIGR_10F0836_0130_5252020_22,c11:0,Accept,9.547,0,0.0066,ng/ul,74,2716,244.62,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,Manual Integrate,9.583,-0.39,-0.037,"0.45, 1.5, 3, 7.5",2021-05-12,----
61,HIGR_10F0836_0130_5252020_22,c11:1,Accept,----,----,----,ng/ul,55,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,10.064,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
62,HIGR_10F0836_0130_5252020_22,c12:0,Accept,10.589,0,0.0222,ng/ul,74,9022,----,214,0.00 - 23.27,3.27,2.29,124,----,143,0.00 - 31.43,11.43,13.7,743,----,171,0.00 - 27.50,7.5,7.17,389,----,Auto,10.625,-0.35,-0.037,"0.6, 2, 4, 10",2021-05-12,----
63,HIGR_10F0836_0130_5252020_22,c13.0,Accept,----,----,----,ng/ul,74,----,152.36,228,0.00 - 26.29,6.29,0,0,152.36,87,42.07 - 82.07,62.07,49.34,483,152.36,69,0.00 - 31.14,11.14,0,0,152.36,No peak identified,11.835,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
64,HIGR_10F0836_0130_5252020_22,c16:1n1,Accept,18.481,0,2.0905,ng/ul,55,286092,28795.23,69,97.80 - 137.80,117.8,58.44,47439,28795.23,268,0.00 - 30.37,10.37,2.14,1738,28795.23,----,----,----,----,----,----,Manual Integrate,18.5,-0.1,-0.019,----,2021-05-12,----
65,HIGR_10F0836_0130_5252020_22,c18:4n1,Accept,28.765,0,9.8771,ng/ul,79,1838631,79704.98,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,Auto,28.7,0.22,0.064,----,2021-05-12,----
1,LAAN_14F1207_0194_5252020_14,c13.1,Accept,12.345,0,0.0061,ng/ul,55,863,5029.94,228,0.00 - 26.29,6.29,0,0,5029.94,87,42.07 - 82.07,62.07,44.72,55,5029.94,69,0.00 - 31.14,11.14,0,0,5029.94,Auto,12.53,-1.48,-0.185,"0.3, 1, 2, 5",2021-05-12,----
2,LAAN_14F1207_0194_5252020_14,c14.0,Accept,13.299,0,0.6631,ng/ul,74,281663,20171.46,87,44.14 - 84.14,64.14,63.18,79224,20171.46,143,8.20 - 48.20,28.2,21.9,27457,20171.46,242,0.00 - 29.05,9.05,4.43,5558,20171.46,Auto,13.33,-0.23,-0.031,"0.6, 2, 4, 10",2021-05-12,----
3,LAAN_14F1207_0194_5252020_14,c14.1,Accept,13.979,0,0.0377,ng/ul,55,6088,6068.31,87,44.14 - 84.14,64.14,18.34,300,6068.31,143,8.21 - 48.21,28.21,0,0,6068.31,242,0.00 - 29.05,9.05,0.73,12,6068.31,Manual Integrate,13.99,-0.08,-0.011,"0.15, 0.5, 1, 2.5",2021-05-12,----
4,LAAN_14F1207_0194_5252020_14,i15.0,Accept,----,----,----,ng/ul,74,----,3086.19,87,51.92 - 91.92,71.92,7.6,6,3086.19,43,12.33 - 52.33,32.33,0,0,3086.19,256,0.00 - 30.79,10.79,0,0,3086.19,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
5,LAAN_14F1207_0194_5252020_14,c15.0,Accept,15.166,0,0.0369,ng/ul,74,15293,942.71,87,46.44 - 86.44,66.44,60.65,3364,942.71,143,4.04 - 44.04,24.04,16.33,906,942.71,256,0.00 - 31.47,11.47,6.44,357,942.71,Auto,15.2,-0.22,-0.034,"0.45, 1.5, 3, 7.5",2021-05-12,----
6,LAAN_14F1207_0194_5252020_14,i16.0,Accept,----,----,----,ng/ul,74,----,3086.19,87,49.12 - 89.12,69.12,1.31,82,3086.19,270,0.00 - 33.76,13.76,0.43,27,3086.19,143,5.45 - 45.45,25.45,0,0,3086.19,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
7,LAAN_14F1207_0194_5252020_14,c16.0,Accept,17.524,0,12.2982,ng/ul,74,4895725,255438.49,87,46.92 - 86.92,66.92,65.36,826805,255438.49,143,5.16 - 45.16,25.16,20.64,261016,255438.49,270,0.00 - 33.68,13.68,7.5,94866,255438.49,Auto,17.52,0.02,0.004,"0.75, 2.5, 5, 12.5",2021-05-12,----
8,LAAN_14F1207_0194_5252020_14,c16.1n13,Accept,----,----,----,ng/ul,55,----,344.44,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
9,LAAN_14F1207_0194_5252020_14,c16.1n9,Accept,----,----,----,ng/ul,55,----,344.44,55,88.10 - 128.10,108.1,100,284,344.44,69,57.99 - 97.99,77.99,78.17,222,344.44,268,0.00 - 28.60,8.6,0,0,344.44,No peak identified,7,----,----,----,2021-05-12,----
10,LAAN_14F1207_0194_5252020_14,c16.1n7c,Accept,----,----,----,ng/ul,55,----,28326.08,69,97.80 - 137.80,117.8,73.84,90660,28326.08,268,0.00 - 30.37,10.37,0,0,28326.08,----,----,----,----,----,----,No peak identified,18.22,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
11,LAAN_14F1207_0194_5252020_14,c16.1n6c,Accept,----,----,----,ng/ul,55,----,344.44,69,97.80 - 137.80,117.8,0,0,344.44,268,0.00 - 30.37,10.37,0,0,344.44,----,----,----,----,----,----,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
12,LAAN_14F1207_0194_5252020_14,i17.0,Accept,----,----,----,ng/ul,74,----,3086.19,284,0.00 - 36.52,16.52,0,0,3086.19,143,12.85 - 52.85,32.85,0,0,3086.19,57,10.95 - 50.95,30.95,149.37,118,3086.19,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
13,LAAN_14F1207_0194_5252020_14,a17.0,Accept,----,----,----,ng/ul,74,----,3086.19,284,0.00 - 36.52,16.52,0,0,3086.19,143,12.85 - 52.85,32.85,0,0,3086.19,57,10.96 - 50.96,30.96,149.37,118,3086.19,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
14,LAAN_14F1207_0194_5252020_14,c16.2n5,Accept,----,----,----,ng/ul,67,----,113.25,74,0.00 - 28.86,8.86,23.55,65,113.25,69,9.62 - 49.62,29.62,0,0,113.25,266,0.00 - 28.96,8.96,0,0,113.25,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
15,LAAN_14F1207_0194_5252020_14,c17.0,Accept,20.256,0,0.0228,ng/ul,74,8782,1000.46,87,49.23 - 89.23,69.23,67.88,1416,1000.46,55,13.33 - 53.33,33.33,31.06,648,1000.46,284,0.00 - 35.42,15.42,8.63,180,1000.46,Auto,20.28,-0.12,-0.024,"0.3, 1, 2, 5",2021-05-12,----
999,LAAN_14F1207_0194_5252020_14,c16.3n3,----,20.859,----,----,ng/ul,79,913613,----,79,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,20.859,----,----,----,2021-05-12,"Was incorrectly identified as c17.1n9, so had to manually enter AREA here."
16,LAAN_14F1207_0194_5252020_14,c17.1n9c,Accept,----,----,----,ng/ul,55,----,43397.39,55,154.23 - 194.23,174.23,100,194570,43397.39,282,0.00 - 33.71,13.71,0.03,55,43397.39,69,113.94 - 153.94,133.94,34.28,66706,43397.39,No peak identified,21,----,----,"0.15, 0.5, 1, 2.5",2021-05-12,----
17,LAAN_14F1207_0194_5252020_14,c16.4n1,Accept,----,----,----,ng/ul,79,----,920.58,266,0.00 - 21.57,1.57,0,0,920.58,80,36.23 - 76.23,56.23,0,0,920.58,194,0.00 - 23.42,3.42,0,0,920.58,Ratio of reference ion does not match,7,----,----,----,2021-05-12,----
18,LAAN_14F1207_0194_5252020_14,i18.0,Accept,----,----,----,ng/ul,74,----,3086.19,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
19,LAAN_14F1207_0194_5252020_14,a18.0,Accept,----,----,----,ng/ul,74,----,3086.19,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,No peak identified,7,----,----,----,2021-05-12,----
20,LAAN_14F1207_0194_5252020_14,c18.0,Accept,23.435,0,0.8632,ng/ul,74,334797,16012.81,87,44.78 - 84.78,64.78,70.19,51859,16012.81,143,0.10 - 40.10,20.1,25.62,18931,16012.81,55,8.23 - 48.23,28.23,23.55,17397,16012.81,Auto,23.49,-0.23,-0.055,"0.45, 1.5, 3, 7.5",2021-05-12,----
