sample,batch,FA,proportion,species
DEME_05F0328_0035,batch_2,16:4w3,5.656135391017e-4,D. menziesii
DEME_05F0328_0035,batch_2,16:4w1,5.4855986455592e-4,D. menziesii
DEME_05F0328_0035,batch_2,17:2,0,D. menziesii
DEME_05F0328_0035,batch_2,18:0,0.0182227986785297,D. menziesii
DEME_05F0328_0035,batch_2,18:1w9t,0,D. menziesii
DEME_05F0328_0035,batch_2,18:1w9c,0.11623595085131,D. menziesii
DEME_05F0328_0035,batch_2,18:1w8c,0,D. menziesii
DEME_05F0328_0035,batch_2,18:1w7c,0,D. menziesii
DEME_05F0328_0035,batch_2,18:1w5c,0,D. menziesii
DEME_05F0328_0035,batch_2,18:1w6c,0,D. menziesii
DEME_05F0328_0035,batch_2,"18:2w7,12c",0,D. menziesii
DEME_05F0328_0035,batch_2,18:2w6t,0,D. menziesii
DEME_05F0328_0035,batch_2,18:2w6c,0.0627101510102881,D. menziesii
DEME_05F0328_0035,batch_2,18:2w3,0,D. menziesii
DEME_05F0328_0035,batch_2,18:2,0,D. menziesii
DEME_05F0328_0035,batch_2,18:3w6,0.00479397740009152,D. menziesii
DEME_05F0328_0035,batch_2,18:3w4,0,D. menziesii
DEME_05F0328_0035,batch_2,19:0,0.235802105370865,D. menziesii
DEME_05F0328_0035,batch_2,18:3w3,0.0630303811212033,D. menziesii
DEME_05F0328_0035,batch_2,18:4w3c,0.0849746705561677,D. menziesii
DEME_05F0328_0035,batch_2,18:4w1,0,D. menziesii
DEME_05F0328_0035,batch_2,18:5w3,0,D. menziesii
DEME_05F0328_0035,batch_2,20:0,0.00895696884198918,D. menziesii
DEME_05F0328_0035,batch_2,20:1w11,0,D. menziesii
DEME_05F0328_0035,batch_2,20:1w9,0,D. menziesii
DEME_05F0328_0035,batch_2,20:1w7,0,D. menziesii
DEME_05F0328_0035,batch_2,20:1w5,0,D. menziesii
DEME_05F0328_0035,batch_2,20:2w6,0.00250878501095699,D. menziesii
DEME_05F0328_0035,batch_2,20:3n7,0,D. menziesii
DEME_05F0328_0035,batch_2,20:3w6,0.00426436606280868,D. menziesii
DEME_05F0328_0035,batch_2,20:4w6,0.223967802662458,D. menziesii
DEME_05F0328_0035,batch_2,20:3w3,0.0016826292218503,D. menziesii
DEME_05F0328_0035,batch_2,20:4w3,0.00749793224196132,D. menziesii
DEME_05F0328_0035,batch_2,20:5w3,0.178804935333414,D. menziesii
DEME_05F0328_0035,batch_2,21:0,0,D. menziesii
DEME_05F0328_0035,batch_2,22:0,0,D. menziesii
DEME_05F0328_0035,batch_2,22:1w9c,0,D. menziesii
DEME_05F0328_0035,batch_2,22:1w7c,0,D. menziesii
DEME_05F0328_0035,batch_2,22:2w6,0,D. menziesii
DEME_05F0328_0035,batch_2,21:5w3,0,D. menziesii
DEME_05F0328_0035,batch_2,23:0,0,D. menziesii
DEME_05F0328_0035,batch_2,22:4w6,0,D. menziesii
DEME_05F0328_0035,batch_2,22:5w6,0,D. menziesii
DEME_05F0328_0035,batch_2,22:3w6,0,D. menziesii
DEME_05F0328_0035,batch_2,22:6w4,0,D. menziesii
DEME_05F0328_0035,batch_2,22:5w3,0,D. menziesii
DEME_05F0328_0035,batch_2,22:6w3,0,D. menziesii
DEME_05F0328_0035,batch_2,24:0,0,D. menziesii
DEME_05F0328_0035,batch_2,24:1,0,D. menziesii
DEME_05F0328_0035,batch_2,24:1w9,0,D. menziesii
DEME_05F0328_0035,batch_2,26:0,0,D. menziesii
DEME_05F0328_0035,batch_2,26:4w2,0,D. menziesii
DEME_05F0328_0035,batch_2,27:0,0,D. menziesii
DEME_05F0328_0035,batch_2,28:0,0,D. menziesii
DEME_05F0328_0035,batch_2,29:0,0,D. menziesii
DEME_07F0563_0036,batch_2,8:0,3.70645486731145e-5,D. menziesii
DEME_07F0563_0036,batch_2,9:0,9.64693732587913e-5,D. menziesii
DEME_07F0563_0036,batch_2,10:0,3.75722822165819e-5,D. menziesii
DEME_07F0563_0036,batch_2,11:0,5.58506897814055e-5,D. menziesii
DEME_07F0563_0036,batch_2,11:1,0,D. menziesii
DEME_07F0563_0036,batch_2,12:0,1.2947205358416e-4,D. menziesii
DEME_07F0563_0036,batch_2,13:0,0,D. menziesii
DEME_07F0563_0036,batch_2,13:1,0,D. menziesii
DEME_07F0563_0036,batch_2,i-14:0,0,D. menziesii
DEME_07F0563_0036,batch_2,14:0,0.0539421193915118,D. menziesii
DEME_07F0563_0036,batch_2,14:1,8.0526539993917e-4,D. menziesii
DEME_07F0563_0036,batch_2,14:1w5,0,D. menziesii
DEME_07F0563_0036,batch_2,i-15:0,0,D. menziesii
DEME_07F0563_0036,batch_2,a-15:0,0,D. menziesii
DEME_07F0563_0036,batch_2,15:0,0.00134854029144921,D. menziesii
DEME_07F0563_0036,batch_2,15:1w7,0,D. menziesii
DEME_07F0563_0036,batch_2,15:1w5,0,D. menziesii
DEME_07F0563_0036,batch_2,i-16:0,0,D. menziesii
DEME_07F0563_0036,batch_2,16:0,0.132448895349516,D. menziesii
DEME_07F0563_0036,batch_2,16:1w13,0,D. menziesii
DEME_07F0563_0036,batch_2,16:1w9,0,D. menziesii
DEME_07F0563_0036,batch_2,16:1w7t,0,D. menziesii
DEME_07F0563_0036,batch_2,16:1w8c,0,D. menziesii
DEME_07F0563_0036,batch_2,16:1w7c,0,D. menziesii
DEME_07F0563_0036,batch_2,16:1w6c,0,D. menziesii
DEME_07F0563_0036,batch_2,16:1w5t,0,D. menziesii
DEME_07F0563_0036,batch_2,16:1w5c,0.00814861563910706,D. menziesii
DEME_07F0563_0036,batch_2,16:2w6,0,D. menziesii
DEME_07F0563_0036,batch_2,i-17:0,0,D. menziesii
DEME_07F0563_0036,batch_2,a-17:0,0,D. menziesii
DEME_07F0563_0036,batch_2,16:2w5,0.00391513335367652,D. menziesii
DEME_07F0563_0036,batch_2,16:2w4,0,D. menziesii
DEME_07F0563_0036,batch_2,17:0,8.6517795806831e-4,D. menziesii
DEME_07F0563_0036,batch_2,16:3w4,0,D. menziesii
DEME_07F0563_0036,batch_2,16:3w3,0,D. menziesii
DEME_07F0563_0036,batch_2,17:1w9c,0,D. menziesii
DEME_07F0563_0036,batch_2,17:1w7c,0,D. menziesii
DEME_07F0563_0036,batch_2,16:4w3,0,D. menziesii
DEME_07F0563_0036,batch_2,16:4w1,0,D. menziesii
DEME_07F0563_0036,batch_2,17:2,0,D. menziesii
DEME_07F0563_0036,batch_2,18:0,0.0136260451060325,D. menziesii
DEME_07F0563_0036,batch_2,18:1w9t,0,D. menziesii
DEME_07F0563_0036,batch_2,18:1w9c,0.105044992807954,D. menziesii
DEME_07F0563_0036,batch_2,18:1w8c,0,D. menziesii
DEME_07F0563_0036,batch_2,18:1w7c,0,D. menziesii
DEME_07F0563_0036,batch_2,18:1w5c,0,D. menziesii
DEME_07F0563_0036,batch_2,18:1w6c,0,D. menziesii
DEME_07F0563_0036,batch_2,"18:2w7,12c",0,D. menziesii
DEME_07F0563_0036,batch_2,18:2w6t,0,D. menziesii
DEME_07F0563_0036,batch_2,18:2w6c,0.0540177716894884,D. menziesii
DEME_07F0563_0036,batch_2,18:2w3,0,D. menziesii
DEME_07F0563_0036,batch_2,18:2,0,D. menziesii
DEME_07F0563_0036,batch_2,18:3w6,0.00480366705474434,D. menziesii
DEME_07F0563_0036,batch_2,18:3w4,0,D. menziesii
DEME_07F0563_0036,batch_2,19:0,0.177986501396013,D. menziesii
DEME_07F0563_0036,batch_2,18:3w3,0.0754202637472665,D. menziesii
DEME_07F0563_0036,batch_2,18:4w3c,0.113187007910996,D. menziesii
DEME_07F0563_0036,batch_2,18:4w1,0,D. menziesii
DEME_07F0563_0036,batch_2,18:5w3,0,D. menziesii
DEME_07F0563_0036,batch_2,20:0,0.00885588846515704,D. menziesii
DEME_07F0563_0036,batch_2,20:1w11,0,D. menziesii
DEME_07F0563_0036,batch_2,20:1w9,0,D. menziesii
DEME_07F0563_0036,batch_2,20:1w7,0,D. menziesii
DEME_07F0563_0036,batch_2,20:1w5,0,D. menziesii
DEME_07F0563_0036,batch_2,20:2w6,0.00226246066969039,D. menziesii
DEME_07F0563_0036,batch_2,20:3n7,0,D. menziesii
DEME_07F0563_0036,batch_2,20:3w6,0.00948141619070878,D. menziesii
DEME_07F0563_0036,batch_2,20:4w6,0.198443085862312,D. menziesii
DEME_07F0563_0036,batch_2,20:3w3,0.00199082322393537,D. menziesii
DEME_07F0563_0036,batch_2,20:4w3,0.014193691207629,D. menziesii
DEME_07F0563_0036,batch_2,20:5w3,0.196550762945809,D. menziesii
DEME_07F0563_0036,batch_2,21:0,0,D. menziesii
DEME_07F0563_0036,batch_2,22:0,2.9194678749371e-4,D. menziesii
DEME_07F0563_0036,batch_2,22:1w9c,0,D. menziesii
DEME_07F0563_0036,batch_2,22:1w7c,0,D. menziesii
DEME_07F0563_0036,batch_2,22:2w6,0,D. menziesii
DEME_07F0563_0036,batch_2,21:5w3,0,D. menziesii
DEME_07F0563_0036,batch_2,23:0,0,D. menziesii
DEME_07F0563_0036,batch_2,22:4w6,0,D. menziesii
DEME_07F0563_0036,batch_2,22:5w6,0,D. menziesii
DEME_07F0563_0036,batch_2,22:3w6,0,D. menziesii
DEME_07F0563_0036,batch_2,22:6w4,0,D. menziesii
DEME_07F0563_0036,batch_2,22:5w3,0,D. menziesii
DEME_07F0563_0036,batch_2,22:6w3,0,D. menziesii
DEME_07F0563_0036,batch_2,24:0,0,D. menziesii
DEME_07F0563_0036,batch_2,24:1,0,D. menziesii
DEME_07F0563_0036,batch_2,24:1w9,0,D. menziesii
DEME_07F0563_0036,batch_2,26:0,0,D. menziesii
DEME_07F0563_0036,batch_2,26:4w2,0,D. menziesii
DEME_07F0563_0036,batch_2,27:0,0,D. menziesii
DEME_07F0563_0036,batch_2,28:0,0,D. menziesii
DEME_07F0563_0036,batch_2,29:0,0,D. menziesii
DEME_09F0780_0068,batch_2,8:0,1.99870238091577e-5,D. menziesii
DEME_09F0780_0068,batch_2,9:0,9.37852655660479e-5,D. menziesii
DEME_09F0780_0068,batch_2,10:0,1.74245848592657e-5,D. menziesii
DEME_09F0780_0068,batch_2,11:0,5.63736568976244e-5,D. menziesii
DEME_09F0780_0068,batch_2,11:1,0,D. menziesii
DEME_09F0780_0068,batch_2,12:0,1.065974603155e-4,D. menziesii
DEME_09F0780_0068,batch_2,13:0,0,D. menziesii
DEME_09F0780_0068,batch_2,13:1,1.399091666641e-4,D. menziesii
DEME_09F0780_0068,batch_2,i-14:0,0,D. menziesii
DEME_09F0780_0068,batch_2,14:0,0.0414151632837348,D. menziesii
DEME_09F0780_0068,batch_2,14:1,0,D. menziesii
DEME_09F0780_0068,batch_2,14:1w5,0,D. menziesii
DEME_09F0780_0068,batch_2,i-15:0,0,D. menziesii
DEME_09F0780_0068,batch_2,a-15:0,0,D. menziesii
DEME_09F0780_0068,batch_2,15:0,0.00111158601646316,D. menziesii
DEME_09F0780_0068,batch_2,15:1w7,0,D. menziesii
DEME_09F0780_0068,batch_2,15:1w5,0,D. menziesii
DEME_09F0780_0068,batch_2,i-16:0,0,D. menziesii
DEME_09F0780_0068,batch_2,16:0,0.134019656981672,D. menziesii
DEME_09F0780_0068,batch_2,16:1w13,0,D. menziesii
DEME_09F0780_0068,batch_2,16:1w9,0,D. menziesii
DEME_09F0780_0068,batch_2,16:1w7t,0,D. menziesii
DEME_09F0780_0068,batch_2,16:1w8c,0,D. menziesii
DEME_09F0780_0068,batch_2,16:1w7c,0,D. menziesii
DEME_09F0780_0068,batch_2,16:1w6c,0.0645893486587682,D. menziesii
DEME_09F0780_0068,batch_2,16:1w5t,0,D. menziesii
DEME_09F0780_0068,batch_2,16:1w5c,0.0100872971701449,D. menziesii
DEME_09F0780_0068,batch_2,16:2w6,0,D. menziesii
DEME_09F0780_0068,batch_2,i-17:0,0,D. menziesii
DEME_09F0780_0068,batch_2,a-17:0,0,D. menziesii
DEME_09F0780_0068,batch_2,16:2w5,0.00768065450840634,D. menziesii
DEME_09F0780_0068,batch_2,16:2w4,0,D. menziesii
DEME_09F0780_0068,batch_2,17:0,7.3695744198894e-4,D. menziesii
DEME_09F0780_0068,batch_2,16:3w4,0,D. menziesii
DEME_09F0780_0068,batch_2,16:3w3,0,D. menziesii
DEME_09F0780_0068,batch_2,17:1w9c,0,D. menziesii
DEME_09F0780_0068,batch_2,17:1w7c,0,D. menziesii
DEME_09F0780_0068,batch_2,16:4w3,0,D. menziesii
DEME_09F0780_0068,batch_2,16:4w1,0,D. menziesii
DEME_09F0780_0068,batch_2,17:2,0,D. menziesii
DEME_09F0780_0068,batch_2,18:0,0.00947538674891071,D. menziesii
DEME_09F0780_0068,batch_2,18:1w9t,0,D. menziesii
DEME_09F0780_0068,batch_2,18:1w9c,0.0876400244764169,D. menziesii
DEME_09F0780_0068,batch_2,18:1w8c,0,D. menziesii
DEME_09F0780_0068,batch_2,18:1w7c,0,D. menziesii
DEME_09F0780_0068,batch_2,18:1w5c,0,D. menziesii
DEME_09F0780_0068,batch_2,18:1w6c,0,D. menziesii
DEME_09F0780_0068,batch_2,"18:2w7,12c",0,D. menziesii
DEME_09F0780_0068,batch_2,18:2w6t,0,D. menziesii
DEME_09F0780_0068,batch_2,18:2w6c,0.0485602680516137,D. menziesii
DEME_09F0780_0068,batch_2,18:2w3,0.0036355883821068,D. menziesii
DEME_09F0780_0068,batch_2,18:2,0,D. menziesii
DEME_09F0780_0068,batch_2,18:3w6,0.00457087859881738,D. menziesii
DEME_09F0780_0068,batch_2,18:3w4,0,D. menziesii
DEME_09F0780_0068,batch_2,19:0,0.158970125036771,D. menziesii
DEME_09F0780_0068,batch_2,18:3w3,0.0725979953527607,D. menziesii
DEME_09F0780_0068,batch_2,18:4w3c,0.0879628917841032,D. menziesii
DEME_09F0780_0068,batch_2,18:4w1,0,D. menziesii
DEME_09F0780_0068,batch_2,18:5w3,0,D. menziesii
DEME_09F0780_0068,batch_2,20:0,0.00791793635516634,D. menziesii
DEME_09F0780_0068,batch_2,20:1w11,0,D. menziesii
DEME_09F0780_0068,batch_2,20:1w9,0,D. menziesii
DEME_09F0780_0068,batch_2,20:1w7,0,D. menziesii
DEME_09F0780_0068,batch_2,20:1w5,0,D. menziesii
DEME_09F0780_0068,batch_2,20:2w6,0.00213758657199992,D. menziesii
DEME_09F0780_0068,batch_2,20:3n7,0,D. menziesii
DEME_09F0780_0068,batch_2,20:3w6,0.00250094041509461,D. menziesii
DEME_09F0780_0068,batch_2,20:4w6,0.208656841250757,D. menziesii
DEME_09F0780_0068,batch_2,20:3w3,0,D. menziesii
DEME_09F0780_0068,batch_2,20:4w3,0.0093047283148479,D. menziesii
DEME_09F0780_0068,batch_2,20:5w3,0.193357543256532,D. menziesii
DEME_09F0780_0068,batch_2,21:0,0,D. menziesii
DEME_09F0780_0068,batch_2,22:0,0,D. menziesii
DEME_09F0780_0068,batch_2,22:1w9c,0,D. menziesii
DEME_09F0780_0068,batch_2,22:1w7c,0,D. menziesii
DEME_09F0780_0068,batch_2,22:2w6,0,D. menziesii
DEME_09F0780_0068,batch_2,21:5w3,0,D. menziesii
DEME_09F0780_0068,batch_2,23:0,0,D. menziesii
DEME_09F0780_0068,batch_2,22:4w6,0,D. menziesii
DEME_09F0780_0068,batch_2,22:5w6,0,D. menziesii
DEME_09F0780_0068,batch_2,22:3w6,0,D. menziesii
DEME_09F0780_0068,batch_2,22:6w4,0,D. menziesii
DEME_09F0780_0068,batch_2,22:5w3,0,D. menziesii
DEME_09F0780_0068,batch_2,22:6w3,0.0016066492215823,D. menziesii
DEME_09F0780_0068,batch_2,24:0,0,D. menziesii
DEME_09F0780_0068,batch_2,24:1,0,D. menziesii
DEME_09F0780_0068,batch_2,24:1w9,0,D. menziesii
DEME_09F0780_0068,batch_2,26:0,0,D. menziesii
DEME_09F0780_0068,batch_2,26:4w2,0,D. menziesii
DEME_09F0780_0068,batch_2,27:0,0,D. menziesii
DEME_09F0780_0068,batch_2,28:0,0,D. menziesii
DEME_09F0780_0068,batch_2,29:0,0,D. menziesii
DEME_08F0679_0067,batch_2,8:0,5.710807948792e-6,D. menziesii
DEME_08F0679_0067,batch_2,9:0,1.44129914898084e-5,D. menziesii
DEME_08F0679_0067,batch_2,10:0,2.90979262152735e-5,D. menziesii
DEME_08F0679_0067,batch_2,11:0,1.93079697316301e-5,D. menziesii
DEME_08F0679_0067,batch_2,11:1,1.0333842954957e-5,D. menziesii
DEME_08F0679_0067,batch_2,12:0,1.8573722995356e-4,D. menziesii
DEME_08F0679_0067,batch_2,13:0,0,D. menziesii
DEME_08F0679_0067,batch_2,13:1,0,D. menziesii
DEME_08F0679_0067,batch_2,i-14:0,0,D. menziesii
DEME_08F0679_0067,batch_2,14:0,0.0999513765494646,D. menziesii
DEME_08F0679_0067,batch_2,14:1,0,D. menziesii
DEME_08F0679_0067,batch_2,14:1w5,0,D. menziesii
DEME_08F0679_0067,batch_2,i-15:0,0,D. menziesii
DEME_08F0679_0067,batch_2,a-15:0,0,D. menziesii
DEME_08F0679_0067,batch_2,15:0,0.00120035744218895,D. menziesii
DEME_08F0679_0067,batch_2,15:1w7,0,D. menziesii
DEME_08F0679_0067,batch_2,15:1w5,0,D. menziesii
DEME_08F0679_0067,batch_2,i-16:0,0,D. menziesii
DEME_08F0679_0067,batch_2,16:0,0.0774325730344351,D. menziesii
DEME_08F0679_0067,batch_2,16:1w13,0,D. menziesii
DEME_08F0679_0067,batch_2,16:1w9,0,D. menziesii
DEME_08F0679_0067,batch_2,16:1w7t,0,D. menziesii
DEME_08F0679_0067,batch_2,16:1w8c,0,D. menziesii
DEME_08F0679_0067,batch_2,16:1w7c,0,D. menziesii
DEME_08F0679_0067,batch_2,16:1w6c,0.0663731855267459,D. menziesii
DEME_08F0679_0067,batch_2,16:1w5t,0,D. menziesii
DEME_08F0679_0067,batch_2,16:1w5c,0.00952889097741294,D. menziesii
DEME_08F0679_0067,batch_2,16:2w6,0,D. menziesii
DEME_08F0679_0067,batch_2,i-17:0,0,D. menziesii
DEME_08F0679_0067,batch_2,a-17:0,0,D. menziesii
DEME_08F0679_0067,batch_2,16:2w5,0.0142435708539942,D. menziesii
DEME_08F0679_0067,batch_2,16:2w4,0,D. menziesii
DEME_08F0679_0067,batch_2,17:0,0.00220301215205543,D. menziesii
DEME_08F0679_0067,batch_2,16:3w4,0,D. menziesii
DEME_08F0679_0067,batch_2,16:3w3,0,D. menziesii
DEME_08F0679_0067,batch_2,17:1w9c,0,D. menziesii
DEME_08F0679_0067,batch_2,17:1w7c,0,D. menziesii
DEME_08F0679_0067,batch_2,16:4w3,0,D. menziesii
DEME_08F0679_0067,batch_2,16:4w1,3.421045904562e-4,D. menziesii
DEME_08F0679_0067,batch_2,17:2,0,D. menziesii
DEME_08F0679_0067,batch_2,18:0,0.137489333026581,D. menziesii
DEME_08F0679_0067,batch_2,18:1w9t,0,D. menziesii
DEME_08F0679_0067,batch_2,18:1w9c,0,D. menziesii
DEME_08F0679_0067,batch_2,18:1w8c,0,D. menziesii
DEME_08F0679_0067,batch_2,18:1w7c,0,D. menziesii
DEME_08F0679_0067,batch_2,18:1w5c,0,D. menziesii
DEME_08F0679_0067,batch_2,18:1w6c,0,D. menziesii
DEME_08F0679_0067,batch_2,"18:2w7,12c",0,D. menziesii
DEME_08F0679_0067,batch_2,18:2w6t,0,D. menziesii
DEME_08F0679_0067,batch_2,18:2w6c,0,D. menziesii
DEME_08F0679_0067,batch_2,18:2w3,0,D. menziesii
DEME_08F0679_0067,batch_2,18:2,0,D. menziesii
DEME_08F0679_0067,batch_2,18:3w6,0.00757769826157567,D. menziesii
DEME_08F0679_0067,batch_2,18:3w4,0,D. menziesii
DEME_08F0679_0067,batch_2,19:0,0.0641152408410878,D. menziesii
DEME_08F0679_0067,batch_2,18:3w3,0.0529435407770724,D. menziesii
DEME_08F0679_0067,batch_2,18:4w3c,0.0488502511939668,D. menziesii
DEME_08F0679_0067,batch_2,18:4w1,0,D. menziesii
DEME_08F0679_0067,batch_2,18:5w3,0,D. menziesii
DEME_08F0679_0067,batch_2,20:0,0.0342542419065614,D. menziesii
DEME_08F0679_0067,batch_2,20:1w11,0,D. menziesii
DEME_08F0679_0067,batch_2,20:1w9,9.3167752536006e-4,D. menziesii
DEME_08F0679_0067,batch_2,20:1w7,0,D. menziesii
DEME_08F0679_0067,batch_2,20:1w5,0,D. menziesii
DEME_08F0679_0067,batch_2,20:2w6,0.00341696675602721,D. menziesii
DEME_08F0679_0067,batch_2,20:3n7,0,D. menziesii
DEME_08F0679_0067,batch_2,20:3w6,0.028480343127097,D. menziesii
DEME_08F0679_0067,batch_2,20:4w6,0.270095381370474,D. menziesii
DEME_08F0679_0067,batch_2,20:3w3,0,D. menziesii
DEME_08F0679_0067,batch_2,20:4w3,0.00866710286361666,D. menziesii
DEME_08F0679_0067,batch_2,20:5w3,0.135575124590793,D. menziesii
DEME_08F0679_0067,batch_2,21:0,0,D. menziesii
DEME_08F0679_0067,batch_2,22:0,0,D. menziesii
DEME_08F0679_0067,batch_2,22:1w9c,0,D. menziesii
DEME_08F0679_0067,batch_2,22:1w7c,0,D. menziesii
DEME_08F0679_0067,batch_2,22:2w6,0,D. menziesii
DEME_08F0679_0067,batch_2,21:5w3,1.7866670582649e-4,D. menziesii
DEME_08F0679_0067,batch_2,23:0,0,D. menziesii
DEME_08F0679_0067,batch_2,22:4w6,0,D. menziesii
DEME_08F0679_0067,batch_2,22:5w6,0,D. menziesii
DEME_08F0679_0067,batch_2,22:3w6,0,D. menziesii
DEME_08F0679_0067,batch_2,22:6w4,0,D. menziesii
DEME_08F0679_0067,batch_2,22:5w3,0,D. menziesii
DEME_08F0679_0067,batch_2,22:6w3,0,D. menziesii
DEME_08F0679_0067,batch_2,24:0,0,D. menziesii
DEME_08F0679_0067,batch_2,24:1,0,D. menziesii
DEME_08F0679_0067,batch_2,24:1w9,0,D. menziesii
DEME_08F0679_0067,batch_2,26:0,0,D. menziesii
DEME_08F0679_0067,batch_2,26:4w2,0,D. menziesii
DEME_08F0679_0067,batch_2,27:0,0,D. menziesii
DEME_08F0679_0067,batch_2,28:0,0,D. menziesii
DEME_08F0679_0067,batch_2,29:0,0,D. menziesii
DEME_12F1162_0086,batch_2,8:0,2.68330066337669e-5,D. menziesii
DEME_12F1162_0086,batch_2,9:0,4.58011664955677e-5,D. menziesii
DEME_12F1162_0086,batch_2,10:0,3.2847301224094e-5,D. menziesii
DEME_12F1162_0086,batch_2,11:0,4.58011664955677e-5,D. menziesii
DEME_12F1162_0086,batch_2,11:1,0,D. menziesii
DEME_12F1162_0086,batch_2,12:0,1.5914748762096e-4,D. menziesii
DEME_12F1162_0086,batch_2,13:0,0,D. menziesii
DEME_12F1162_0086,batch_2,13:1,0,D. menziesii
DEME_12F1162_0086,batch_2,i-14:0,0,D. menziesii
DEME_12F1162_0086,batch_2,14:0,0.0590353904225597,D. menziesii
DEME_12F1162_0086,batch_2,14:1,5.7922283285303e-4,D. menziesii
DEME_12F1162_0086,batch_2,14:1w5,0,D. menziesii
DEME_12F1162_0086,batch_2,i-15:0,0,D. menziesii
DEME_12F1162_0086,batch_2,a-15:0,0,D. menziesii
DEME_12F1162_0086,batch_2,15:0,0.00120933585070115,D. menziesii
DEME_12F1162_0086,batch_2,15:1w7,0,D. menziesii
DEME_12F1162_0086,batch_2,15:1w5,0,D. menziesii
DEME_12F1162_0086,batch_2,i-16:0,0,D. menziesii
DEME_12F1162_0086,batch_2,16:0,0.116313681548653,D. menziesii
DEME_12F1162_0086,batch_2,16:1w13,0,D. menziesii
DEME_12F1162_0086,batch_2,16:1w9,0,D. menziesii
DEME_12F1162_0086,batch_2,16:1w7t,0,D. menziesii
DEME_12F1162_0086,batch_2,16:1w8c,0,D. menziesii
DEME_12F1162_0086,batch_2,16:1w7c,0.0109955184252541,D. menziesii
DEME_12F1162_0086,batch_2,16:1w6c,0.00194354242876646,D. menziesii
DEME_12F1162_0086,batch_2,16:1w5t,0,D. menziesii
DEME_12F1162_0086,batch_2,16:1w5c,0.00793100401245977,D. menziesii
DEME_12F1162_0086,batch_2,16:2w6,0,D. menziesii
DEME_12F1162_0086,batch_2,i-17:0,0,D. menziesii
DEME_12F1162_0086,batch_2,a-17:0,0,D. menziesii
DEME_12F1162_0086,batch_2,16:2w5,0.00481976315707903,D. menziesii
DEME_12F1162_0086,batch_2,16:2w4,0,D. menziesii
DEME_12F1162_0086,batch_2,17:0,9.4933326918085e-4,D. menziesii
DEME_12F1162_0086,batch_2,16:3w4,0,D. menziesii
DEME_12F1162_0086,batch_2,16:3w3,0,D. menziesii
DEME_12F1162_0086,batch_2,17:1w9c,0,D. menziesii
DEME_12F1162_0086,batch_2,17:1w7c,0,D. menziesii
DEME_12F1162_0086,batch_2,16:4w3,0,D. menziesii
DEME_12F1162_0086,batch_2,16:4w1,4.3811822900305e-4,D. menziesii
DEME_12F1162_0086,batch_2,17:2,0,D. menziesii
DEME_12F1162_0086,batch_2,18:0,0.0284994288733329,D. menziesii
DEME_12F1162_0086,batch_2,18:1w9t,0,D. menziesii
DEME_12F1162_0086,batch_2,18:1w9c,0.150330994389588,D. menziesii
